date,open,high,close,low,volume,amount
2016-06-27,11.71,11.87,11.86,11.71,2698431.0,31908529.0
2016-06-24,11.89,11.96,11.79,11.5,3795616.0,44650535.0
2016-06-23,11.94,12.0,11.87,11.73,2399632.0,28488083.0
2016-06-22,11.88,11.98,11.94,11.81,2997452.0,35705374.0
2016-06-21,12.19,12.3,11.9,11.87,4421657.0,53602896.0
2016-06-20,11.98,12.36,12.23,11.98,8022159.0,98269903.0
2016-06-17,11.83,11.94,11.87,11.73,2247671.0,26684377.0
2016-06-16,11.82,11.96,11.73,11.7,2447130.0,28936346.0
2016-06-15,11.65,11.96,11.87,11.58,2121532.0,25150657.0
2016-06-14,11.58,11.74,11.7,11.58,2131193.0,24867528.0
2016-06-13,11.98,11.99,11.63,11.63,2881029.0,34081630.0
2016-06-08,12.18,12.22,12.13,12.0,2382567.0,28889654.0
2016-06-07,12.35,12.36,12.2,12.17,2050971.0,25117709.0
2016-06-06,12.31,12.33,12.32,12.22,2608319.0,32072313.0
2016-06-03,12.21,12.37,12.25,12.21,2963488.0,36428352.0
2016-06-02,12.23,12.25,12.25,12.12,3052042.0,37288437.0
2016-06-01,12.33,12.33,12.2,12.19,4164056.0,51030919.0
2016-05-31,11.78,12.26,12.21,11.78,5024150.0,60848919.0
2016-05-30,11.79,11.87,11.74,11.7,1531611.0,18064743.0
2016-05-27,11.89,11.94,11.86,11.75,1868387.0,22192674.0
2016-05-26,11.94,12.02,11.91,11.68,1968585.0,23305544.0
2016-05-25,12.06,12.18,11.98,11.93,2724582.0,32951307.0
2016-05-24,11.93,12.05,12.01,11.86,2960549.0,35492025.0
2016-05-23,11.85,12.02,11.91,11.83,2035000.0,24331858.0
2016-05-20,11.77,11.88,11.85,11.62,1391097.0,16377367.0
2016-05-19,11.77,11.97,11.79,11.77,1791008.0,21305844.0
2016-05-18,12.1,12.1,11.79,11.7,3442768.0,41076364.0
2016-05-17,12.18,12.4,12.19,12.11,3305885.0,40670547.0
2016-05-16,12.01,12.18,12.14,11.82,1899960.0,22942006.0
2016-05-13,11.98,12.04,12.02,11.88,2395280.0,28694332.0
2016-05-12,12.11,12.11,11.93,11.58,2858055.0,33909836.0
2016-05-11,12.31,12.36,12.14,12.11,3017231.0,36844518.0
2016-05-10,11.99,12.27,12.23,11.99,2568295.0,31367132.0
2016-05-09,12.61,12.61,12.13,12.08,4781417.0,58825952.0
2016-05-06,13.04,13.05,12.63,12.58,6317335.0,80769152.0
2016-05-05,13.08,13.25,13.04,12.97,4987399.0,65251696.0
2016-05-04,12.96,13.14,13.03,12.9,5045745.0,65922808.0
2016-05-03,12.68,13.13,13.07,12.67,5182920.0,67030460.0
2016-04-29,12.79,12.94,12.78,12.68,3109639.0,39826852.0
2016-04-28,12.85,12.9,12.87,12.56,4666205.0,59345676.0
2016-04-27,13.08,13.16,12.86,12.79,4430215.0,57608560.0
2016-04-26,12.82,13.04,12.97,12.82,3086622.0,40001008.0
2016-04-25,12.83,12.94,12.81,12.68,3660002.0,46812004.0
2016-04-22,12.84,12.98,12.97,12.62,4129763.0,53017880.0
2016-04-21,12.78,13.07,12.83,12.69,6822847.0,87952272.0
2016-04-20,13.62,13.62,12.75,12.44,13543985.0,176111040.0
2016-04-19,13.46,13.55,13.51,13.33,5324800.0,71692248.0
2016-04-18,13.62,13.62,13.38,13.29,7760938.0,104112168.0
2016-04-15,13.9,14.0,13.8,13.73,10755589.0,148944592.0
2016-04-14,13.8,14.12,14.12,13.62,14469498.0,200431792.0
2016-04-13,13.58,13.9,13.72,13.58,13928715.0,192554896.0
2016-04-12,13.68,13.73,13.5,13.39,8940534.0,120960360.0
2016-04-11,13.69,13.88,13.76,13.68,11110400.0,153387056.0
2016-04-08,13.43,13.7,13.63,13.33,9857194.0,133756600.0
2016-04-07,13.9,13.96,13.51,13.49,11730092.0,159979792.0
2016-04-06,13.51,13.88,13.78,13.42,15306288.0,210327520.0
2016-04-05,13.43,13.66,13.57,13.14,12294992.0,165389456.0
2016-04-01,13.13,13.43,13.4,13.06,9673022.0,128434736.0
2016-03-31,13.48,13.53,13.13,13.1,13936172.0,184877152.0
2016-03-30,13.16,13.56,13.33,13.16,11905118.0,158984288.0
2016-03-29,13.25,13.4,13.05,12.93,6993338.0,92084920.0
2016-03-28,13.88,13.88,13.28,13.23,8003083.0,108829784.0
2016-03-25,13.49,13.68,13.62,13.48,5161551.0,70242416.0
2016-03-24,13.69,13.76,13.56,13.53,7790288.0,106423648.0
2016-03-23,13.73,13.94,13.93,13.64,9107116.0,126059992.0
2016-03-22,13.99,14.06,13.85,13.73,9960429.0,138478768.0
2016-03-21,13.94,14.16,14.13,13.79,13369641.0,187097328.0
2016-03-18,13.39,13.86,13.79,13.39,12036157.0,165173600.0
2016-03-17,13.2,13.41,13.36,13.01,9434007.0,125051088.0
2016-03-16,13.2,13.31,13.0,12.87,5842669.0,76602176.0
2016-03-15,13.22,13.28,13.0,12.92,7206635.0,94301664.0
2016-03-14,13.18,13.48,13.33,13.08,7355309.0,98209600.0
2016-03-11,12.8,13.2,12.96,12.78,7017137.0,90911216.0
2016-03-10,13.68,13.85,13.21,13.13,7531842.0,102147016.0
2016-03-09,13.78,13.95,13.45,13.38,11653089.0,159592800.0
2016-03-08,14.74,14.75,14.28,13.49,17896460.0,253871328.0
2016-03-07,14.47,14.81,14.67,14.16,27598572.0,399247456.0
2016-03-04,13.35,14.74,14.32,13.27,35011304.0,505700544.0
2016-03-03,13.54,13.7,13.41,13.36,9689971.0,131160584.0
2016-03-02,12.96,13.56,13.54,12.9,8779745.0,116525104.0
2016-03-01,12.78,13.09,12.9,12.48,6379336.0,81834392.0
2016-02-29,13.18,13.38,12.68,12.36,9004182.0,114683872.0
2016-02-26,13.18,13.83,13.5,12.89,10352260.0,138925952.0
2016-02-25,14.29,14.29,12.99,12.88,15876830.0,216851920.0
2016-02-24,13.98,14.33,14.31,13.88,9912500.0,140432848.0
2016-02-23,14.33,14.76,14.26,13.93,13045155.0,187443360.0
2016-02-22,14.21,14.36,14.15,13.9,12357896.0,174719280.0
2016-02-19,13.29,14.26,14.01,13.29,13875815.0,192876688.0
2016-02-18,13.93,14.71,13.82,13.71,22130244.0,316266656.0
2016-02-17,13.01,13.48,13.38,12.89,11277851.0,148655472.0
2016-02-16,12.51,13.18,13.12,12.51,11029490.0,142777440.0
